Movimientos Conformados;;;;;
Fecha consulta:;27/04/2020;;;;
Hora consulta:;13:51;;;;
Usuario:;EDUARDO ALEJANDRO QUATTROCCHI;;;;
;;;;;
Par?metros de b?squeda:;Cuenta: 03 - CC $ 00460008727626 | Fecha desde 01/04/2020 hasta 27/04/2020 | Movimiento: D?bitos y Cr?ditos | Monto: Todos los montos;;;;
;;;;;
Fecha Mvto;Fecha Valor;Monto;Referencia;Concepto;Saldo
13/04/2020;13/04/2020;48.122,17;0000002621066;TRANS30683069171COSCO SHIPPING LINES ARGENTIN     ;
13/04/2020;13/04/2020;23.961,49;0000001000814;TRANS30709303593MISSIONLINE LOGISTICS SA/ MIS     ;
13/04/2020;13/04/2020;30.124,50;0000002452670;TRANS30661491163DEFIBA SERVICIOS A CONTENEDOR     ;
13/04/2020;13/04/2020;50.223,45;0000000683116;CR.TR. VARIOS-V-SUC 0001                          ;
13/04/2020;13/04/2020;13.415,01;0000004048756;TRANS30709139785LA BARQUITA SRL                   ;
13/04/2020;13/04/2020;79.629,50;0000007801026;TRANS30715815180OCEAN NETWORK EXPRESS ARGENTI     ;
13/04/2020;13/04/2020;31.551,86;0000007741753;TRANS30615647345ALPEMAR SRL                       ;
13/04/2020;13/04/2020;39.070,41;0000000693912;CR.TR. CUOTAS-C-SUC 0001                          ;
13/04/2020;13/04/2020;60.562,95;0000000693842;CR.TR. CUOTAS-C-SUC 0001                          ;
13/04/2020;13/04/2020;29.262,17;0000000696648;TRANS30709197904CMA CGM ARGENTINA SA              ;
13/04/2020;13/04/2020;48.015,13;0000001009355;TRANS30709539023MARITIMA MARSA SRL/ MARITIMA      ;
13/04/2020;13/04/2020;133.917,25;0000002476198;TRANS30612732503AGENCIA MARITIMA NABSA SA         ;
13/04/2020;13/04/2020;7.897,75;0000007915399;TRANS30714792942DIAZ   FORTI SA                   ;
13/04/2020;13/04/2020;3.670,92;0000001010419;TRANS30655807167LANCHAS DEL ESTE SA/ LANCHAS      ;
13/04/2020;13/04/2020;3.900,96;0000001010423;TRANS30655807167LANCHAS DEL ESTE SA/ LANCHAS      ;
13/04/2020;13/04/2020;341.966,59;0000007921317;TRANS30585343427ULTRAMAR ARGENTINA S.A.           ;
13/04/2020;13/04/2020;124.806,75;0000020041301;MP CREDITO AUTOMATICO MEP                         ;
13/04/2020;13/04/2020;13.909,37;0000000002268;TRANS30642757586BRISAMAR S A                      ;
13/04/2020;13/04/2020;464.360,29;0000000003953;TRANS30688938208HAMBURG SUD SUCU                  ;
13/04/2020;13/04/2020;17.333,43;0000000006448;TRANS30697371636AG MARITIMA SEA                   ;
13/04/2020;13/04/2020;-2.212,92;0000000068823;D.DIR.ADT SERVICES                                ;
13/04/2020;13/04/2020;-750,00;0000000097474;GRAVAMEN LEY 25413 S/CRED                         ;
13/04/2020;13/04/2020;-120,31;0000002621066;GRAVAMEN LEY 25413 S/CRED                         ;
13/04/2020;13/04/2020;-59,90;0000001000814;GRAVAMEN LEY 25413 S/CRED                         ;
13/04/2020;13/04/2020;-75,31;0000002452670;GRAVAMEN LEY 25413 S/CRED                         ;
13/04/2020;13/04/2020;-125,56;0000000683116;GRAVAMEN LEY 25413 S/CRED                         ;
13/04/2020;13/04/2020;-33,54;0000004048756;GRAVAMEN LEY 25413 S/CRED                         ;
13/04/2020;13/04/2020;-199,07;0000007801026;GRAVAMEN LEY 25413 S/CRED                         ;
13/04/2020;13/04/2020;-78,88;0000007741753;GRAVAMEN LEY 25413 S/CRED                         ;
13/04/2020;13/04/2020;-97,68;0000000693912;GRAVAMEN LEY 25413 S/CRED                         ;
13/04/2020;13/04/2020;-151,41;0000000693842;GRAVAMEN LEY 25413 S/CRED                         ;
13/04/2020;13/04/2020;-73,16;0000000696648;GRAVAMEN LEY 25413 S/CRED                         ;
13/04/2020;13/04/2020;-120,04;0000001009355;GRAVAMEN LEY 25413 S/CRED                         ;
13/04/2020;13/04/2020;-334,79;0000002476198;GRAVAMEN LEY 25413 S/CRED                         ;
13/04/2020;13/04/2020;-19,74;0000007915399;GRAVAMEN LEY 25413 S/CRED                         ;
13/04/2020;13/04/2020;-9,18;0000001010419;GRAVAMEN LEY 25413 S/CRED                         ;
13/04/2020;13/04/2020;-9,75;0000001010423;GRAVAMEN LEY 25413 S/CRED                         ;
